race,circuit,year,lap,position,time,pit_time
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,58,6,87.646,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,57,6,87.042,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,56,6,87.062,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,55,6,87.148,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,54,6,86.88,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,53,6,87.834,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,52,6,87.403,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,51,6,87.396,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,50,6,87.635,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,49,6,88.045,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,48,6,88.352,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,47,6,88.006,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,46,6,88.482,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,45,6,88.124,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,44,6,87.98,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,43,6,88.029,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,42,6,88.015,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,41,6,88.048,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,40,6,88.244,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,39,6,88.288,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,38,6,88.21,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,37,6,88.76,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,36,6,88.315,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,35,6,88.564,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,34,6,89.221,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,33,6,88.94,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,32,6,90.266,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,31,6,134.396,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,30,5,118.528,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,29,5,108.521,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,28,5,123.267,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,27,5,125.786,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,26,6,121.221,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,25,6,96.424,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,24,9,87.955,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,23,11,88.436,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,22,13,93.466,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,21,13,106.361,20.953
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,20,8,89.941,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,19,8,90.169,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,18,8,90.015,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,17,8,90.141,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,16,8,89.988,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,15,8,90.095,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,14,8,89.65,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,13,8,89.917,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,12,8,90.074,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,11,8,90.207,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,10,8,96.502,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,9,5,90.444,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,8,5,90.251,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,7,5,90.46,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,6,5,91.259,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,5,5,90.477,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,4,5,90.812,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,3,5,90.904,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,2,5,90.942,NA
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,1,5,97.684,NA
Bahrain Grand Prix,Bahrain International Circuit,2018,3,19,128.112,NA
Bahrain Grand Prix,Bahrain International Circuit,2018,2,19,177.106,30.381
Bahrain Grand Prix,Bahrain International Circuit,2018,1,11,103.654,NA
Chinese Grand Prix,Shanghai International Circuit,2018,1,3,102.561,NA
Chinese Grand Prix,Shanghai International Circuit,2018,2,3,99.367,NA
Chinese Grand Prix,Shanghai International Circuit,2018,3,3,99.319,NA
Chinese Grand Prix,Shanghai International Circuit,2018,4,3,99.421,NA
Chinese Grand Prix,Shanghai International Circuit,2018,5,3,99.416,NA
Chinese Grand Prix,Shanghai International Circuit,2018,6,3,99.101,NA
Chinese Grand Prix,Shanghai International Circuit,2018,7,3,99.094,NA
Chinese Grand Prix,Shanghai International Circuit,2018,8,3,99.345,NA
Chinese Grand Prix,Shanghai International Circuit,2018,9,3,99.219,NA
Chinese Grand Prix,Shanghai International Circuit,2018,10,3,99.184,NA
Chinese Grand Prix,Shanghai International Circuit,2018,11,3,99.448,NA
Chinese Grand Prix,Shanghai International Circuit,2018,12,3,99.145,NA
Chinese Grand Prix,Shanghai International Circuit,2018,13,3,99.068,NA
Chinese Grand Prix,Shanghai International Circuit,2018,14,3,99.45,NA
Chinese Grand Prix,Shanghai International Circuit,2018,15,3,99.431,NA
Chinese Grand Prix,Shanghai International Circuit,2018,16,3,99.357,NA
Chinese Grand Prix,Shanghai International Circuit,2018,17,4,104.048,22.715
Chinese Grand Prix,Shanghai International Circuit,2018,18,5,116.316,NA
Chinese Grand Prix,Shanghai International Circuit,2018,19,4,97.755,NA
Chinese Grand Prix,Shanghai International Circuit,2018,20,4,98.45,NA
Chinese Grand Prix,Shanghai International Circuit,2018,21,4,98.187,NA
Chinese Grand Prix,Shanghai International Circuit,2018,22,4,97.854,NA
Chinese Grand Prix,Shanghai International Circuit,2018,23,4,97.676,NA
Chinese Grand Prix,Shanghai International Circuit,2018,24,4,98.386,NA
Chinese Grand Prix,Shanghai International Circuit,2018,25,4,97.787,NA
Chinese Grand Prix,Shanghai International Circuit,2018,26,4,97.562,NA
Chinese Grand Prix,Shanghai International Circuit,2018,27,3,97.542,NA
Chinese Grand Prix,Shanghai International Circuit,2018,28,3,97.639,NA
Chinese Grand Prix,Shanghai International Circuit,2018,29,3,97.724,NA
Chinese Grand Prix,Shanghai International Circuit,2018,30,3,98.247,NA
Chinese Grand Prix,Shanghai International Circuit,2018,31,3,105.059,22.596
Chinese Grand Prix,Shanghai International Circuit,2018,32,4,158.713,NA
Chinese Grand Prix,Shanghai International Circuit,2018,33,4,158.435,NA
Chinese Grand Prix,Shanghai International Circuit,2018,34,4,145.615,NA
Chinese Grand Prix,Shanghai International Circuit,2018,35,4,145.473,NA
Chinese Grand Prix,Shanghai International Circuit,2018,36,4,99.092,NA
Chinese Grand Prix,Shanghai International Circuit,2018,37,4,97.58,NA
Chinese Grand Prix,Shanghai International Circuit,2018,38,4,97.386,NA
Chinese Grand Prix,Shanghai International Circuit,2018,39,5,99.563,NA
Chinese Grand Prix,Shanghai International Circuit,2018,40,5,97.477,NA
Chinese Grand Prix,Shanghai International Circuit,2018,41,5,97.176,NA
Chinese Grand Prix,Shanghai International Circuit,2018,42,4,96.671,NA
Chinese Grand Prix,Shanghai International Circuit,2018,43,5,103.068,NA
Chinese Grand Prix,Shanghai International Circuit,2018,44,5,96.952,NA
Chinese Grand Prix,Shanghai International Circuit,2018,45,5,97.391,NA
Chinese Grand Prix,Shanghai International Circuit,2018,46,5,96.887,NA
Chinese Grand Prix,Shanghai International Circuit,2018,47,5,96.678,NA
Chinese Grand Prix,Shanghai International Circuit,2018,48,4,96.289,NA
Chinese Grand Prix,Shanghai International Circuit,2018,49,4,96.28,NA
Chinese Grand Prix,Shanghai International Circuit,2018,50,4,96.206,NA
Chinese Grand Prix,Shanghai International Circuit,2018,51,4,96.362,NA
Chinese Grand Prix,Shanghai International Circuit,2018,52,4,96.717,NA
Chinese Grand Prix,Shanghai International Circuit,2018,53,4,97.06,NA
Chinese Grand Prix,Shanghai International Circuit,2018,54,4,97.234,NA
Chinese Grand Prix,Shanghai International Circuit,2018,55,4,97.088,NA
Chinese Grand Prix,Shanghai International Circuit,2018,56,4,97.265,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,1,5,153.345,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,2,5,188.783,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,3,5,154.17,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,4,5,153.142,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,5,5,179.765,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,6,5,116.751,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,7,4,111.881,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,8,4,111.469,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,9,6,110.941,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,10,6,110.08,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,11,5,109.606,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,12,5,110.108,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,13,5,108.634,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,14,5,107.796,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,15,4,110.284,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,16,4,107.56,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,17,4,107.494,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,18,4,107.15,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,19,4,106.911,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,20,4,106.884,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,21,4,106.484,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,22,4,106.221,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,23,4,106.702,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,24,4,107.536,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,25,4,106.984,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,26,4,106.909,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,27,4,108.393,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,28,4,106.352,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,29,4,106.519,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,30,4,105.904,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,31,4,105.771,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,32,4,106.07,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,33,4,106.533,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,34,4,106.471,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,35,5,107.139,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,36,5,106.642,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,37,4,106.151,NA
Azerbaijan Grand Prix,Baku City Circuit,2018,38,4,109.815,19.765
Azerbaijan Grand Prix,Baku City Circuit,2018,39,4,121.646,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,1,5,113.164,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,2,5,156.142,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,3,5,133.094,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,4,5,127.521,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,5,5,131.713,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,6,5,130.817,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,7,5,85.139,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,8,5,83.711,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,9,5,83.025,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,10,5,83.065,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,11,5,82.627,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,12,5,82.552,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,13,5,82.611,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,14,5,82.357,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,15,5,82.242,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,16,5,82.104,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,17,5,82.115,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,18,4,82.294,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,19,4,81.964,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,20,3,81.924,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,21,3,81.709,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,22,3,81.798,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,23,3,81.909,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,24,2,82.241,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,25,2,81.29,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,26,1,81.192,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,27,1,81.37,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,28,1,80.603,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,29,1,81.396,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,30,1,81.372,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,31,1,81.366,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,32,1,81.232,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,33,1,81.501,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,34,2,84.621,21.74
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,35,4,99.586,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,36,4,80.982,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,37,4,80.825,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,38,4,81.191,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,39,4,80.72,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,40,4,81.044,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,41,4,121.224,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,42,3,115.38,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,43,3,81.016,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,44,3,80.746,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,45,3,80.681,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,46,3,80.446,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,47,3,80.477,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,48,3,80.805,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,49,3,80.336,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,50,3,79.823,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,51,3,80.442,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,52,3,79.877,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,53,3,80.355,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,54,3,79.777,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,55,3,79.731,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,56,3,79.508,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,57,3,79.515,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,58,3,79.599,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,59,3,79.656,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,60,3,79.707,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,61,3,79.557,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,62,3,79.422,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,63,3,79.454,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,64,3,79.786,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,65,3,80.194,NA
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2018,66,3,81.202,NA
Monaco Grand Prix,Circuit de Monaco,2018,1,18,95.69,NA
Monaco Grand Prix,Circuit de Monaco,2018,2,18,81.235,NA
Monaco Grand Prix,Circuit de Monaco,2018,3,18,79.775,NA
Monaco Grand Prix,Circuit de Monaco,2018,4,18,80.396,NA
Monaco Grand Prix,Circuit de Monaco,2018,5,17,79.395,NA
Monaco Grand Prix,Circuit de Monaco,2018,6,17,79.747,NA
Monaco Grand Prix,Circuit de Monaco,2018,7,14,79.861,NA
Monaco Grand Prix,Circuit de Monaco,2018,8,14,78.233,NA
Monaco Grand Prix,Circuit de Monaco,2018,9,14,78.31,NA
Monaco Grand Prix,Circuit de Monaco,2018,10,14,79.376,NA
Monaco Grand Prix,Circuit de Monaco,2018,11,14,81.081,NA
Monaco Grand Prix,Circuit de Monaco,2018,12,14,79.372,NA
Monaco Grand Prix,Circuit de Monaco,2018,13,14,79.016,NA
Monaco Grand Prix,Circuit de Monaco,2018,14,13,79.218,NA
Monaco Grand Prix,Circuit de Monaco,2018,15,13,79.3,NA
Monaco Grand Prix,Circuit de Monaco,2018,16,12,81.211,NA
Monaco Grand Prix,Circuit de Monaco,2018,17,12,80.713,NA
Monaco Grand Prix,Circuit de Monaco,2018,18,12,81.061,NA
Monaco Grand Prix,Circuit de Monaco,2018,19,12,80.572,NA
Monaco Grand Prix,Circuit de Monaco,2018,20,11,81.945,NA
Monaco Grand Prix,Circuit de Monaco,2018,21,10,78.624,NA
Monaco Grand Prix,Circuit de Monaco,2018,22,10,78.558,NA
Monaco Grand Prix,Circuit de Monaco,2018,23,10,77.788,NA
Monaco Grand Prix,Circuit de Monaco,2018,24,10,78.379,NA
Monaco Grand Prix,Circuit de Monaco,2018,25,10,79.124,NA
Monaco Grand Prix,Circuit de Monaco,2018,26,10,79.481,NA
Monaco Grand Prix,Circuit de Monaco,2018,27,10,79.443,NA
Monaco Grand Prix,Circuit de Monaco,2018,28,10,79.25,NA
Monaco Grand Prix,Circuit de Monaco,2018,29,10,79.25,NA
Monaco Grand Prix,Circuit de Monaco,2018,30,10,78.92,NA
Monaco Grand Prix,Circuit de Monaco,2018,31,10,78.92,NA
Monaco Grand Prix,Circuit de Monaco,2018,32,10,78.726,NA
Monaco Grand Prix,Circuit de Monaco,2018,33,10,78.751,NA
Monaco Grand Prix,Circuit de Monaco,2018,34,10,78.81,NA
Monaco Grand Prix,Circuit de Monaco,2018,35,10,78.55,NA
Monaco Grand Prix,Circuit de Monaco,2018,36,10,78.797,NA
Monaco Grand Prix,Circuit de Monaco,2018,37,9,78.47,NA
Monaco Grand Prix,Circuit de Monaco,2018,38,9,78.937,NA
Monaco Grand Prix,Circuit de Monaco,2018,39,9,79.154,NA
Monaco Grand Prix,Circuit de Monaco,2018,40,9,79.276,NA
Monaco Grand Prix,Circuit de Monaco,2018,41,9,79.445,NA
Monaco Grand Prix,Circuit de Monaco,2018,42,9,79.057,NA
Monaco Grand Prix,Circuit de Monaco,2018,43,9,78.873,NA
Monaco Grand Prix,Circuit de Monaco,2018,44,9,78.757,NA
Monaco Grand Prix,Circuit de Monaco,2018,45,9,78.782,NA
Monaco Grand Prix,Circuit de Monaco,2018,46,9,78.821,NA
Monaco Grand Prix,Circuit de Monaco,2018,47,11,95.64,24.111
Monaco Grand Prix,Circuit de Monaco,2018,48,11,80.079,NA
Monaco Grand Prix,Circuit de Monaco,2018,49,11,76.414,NA
Monaco Grand Prix,Circuit de Monaco,2018,50,11,75.379,NA
Monaco Grand Prix,Circuit de Monaco,2018,51,11,77.436,NA
Monaco Grand Prix,Circuit de Monaco,2018,52,11,76.501,NA
Monaco Grand Prix,Circuit de Monaco,2018,53,10,77.658,NA
Monaco Grand Prix,Circuit de Monaco,2018,54,10,79.475,NA
Monaco Grand Prix,Circuit de Monaco,2018,55,10,80.041,NA
Monaco Grand Prix,Circuit de Monaco,2018,56,10,79.961,NA
Monaco Grand Prix,Circuit de Monaco,2018,57,9,79.644,NA
Monaco Grand Prix,Circuit de Monaco,2018,58,9,75.965,NA
Monaco Grand Prix,Circuit de Monaco,2018,59,9,74.847,NA
Monaco Grand Prix,Circuit de Monaco,2018,60,9,74.26,NA
Monaco Grand Prix,Circuit de Monaco,2018,61,9,74.747,NA
Monaco Grand Prix,Circuit de Monaco,2018,62,9,75.182,NA
Monaco Grand Prix,Circuit de Monaco,2018,63,9,75.803,NA
Monaco Grand Prix,Circuit de Monaco,2018,64,9,77.089,NA
Monaco Grand Prix,Circuit de Monaco,2018,65,9,77.264,NA
Monaco Grand Prix,Circuit de Monaco,2018,66,9,77.429,NA
Monaco Grand Prix,Circuit de Monaco,2018,67,9,77.252,NA
Monaco Grand Prix,Circuit de Monaco,2018,68,9,77.092,NA
Monaco Grand Prix,Circuit de Monaco,2018,69,9,77.153,NA
Monaco Grand Prix,Circuit de Monaco,2018,70,9,77.504,NA
Monaco Grand Prix,Circuit de Monaco,2018,71,9,77.683,NA
Monaco Grand Prix,Circuit de Monaco,2018,72,9,90.687,NA
Monaco Grand Prix,Circuit de Monaco,2018,73,9,102.558,NA
Monaco Grand Prix,Circuit de Monaco,2018,74,9,78.289,NA
Monaco Grand Prix,Circuit de Monaco,2018,75,9,78.257,NA
Monaco Grand Prix,Circuit de Monaco,2018,76,9,78.651,NA
Monaco Grand Prix,Circuit de Monaco,2018,77,9,78.592,NA
Monaco Grand Prix,Circuit de Monaco,2018,78,9,79.142,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,1,3,104.359,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,2,3,129.653,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,3,3,125.289,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,4,3,125.31,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,5,3,77.736,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,6,3,76.712,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,7,3,76.054,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,8,3,76.565,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,9,3,76.775,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,10,3,76.452,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,11,3,76.436,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,12,3,76.154,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,13,3,76.292,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,14,3,76.513,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,15,3,76.443,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,16,5,92.021,23.137
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,17,5,78.575,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,18,4,75.942,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,19,4,75.881,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,20,4,75.785,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,21,4,75.882,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,22,4,75.793,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,23,4,75.896,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,24,4,75.576,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,25,4,75.566,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,26,4,75.456,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,27,4,75.384,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,28,4,75.397,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,29,4,75.222,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,30,4,75.202,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,31,4,75.342,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,32,3,75.382,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,33,3,75.284,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,34,3,75.3,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,35,3,75.225,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,36,3,75.25,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,37,3,75.35,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,38,3,75.8,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,39,3,74.817,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,40,3,74.614,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,41,3,74.924,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,42,3,74.856,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,43,3,74.792,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,44,3,74.56,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,45,3,75.43,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,46,3,74.519,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,47,3,74.758,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,48,3,74.449,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,49,3,74.478,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,50,3,74.8,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,51,3,74.566,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,52,3,74.46,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,53,3,74.332,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,54,3,74.132,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,55,3,74.217,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,56,3,74.437,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,57,3,75.059,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,58,3,74.988,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,59,3,74.687,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,60,3,74.781,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,61,3,74.298,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,62,3,74.184,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,63,3,74.352,NA
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,64,3,74.274,NA
