## Danish data curated by Hansen https://sites.google.com/site/peterreinhardhansen/research-papers/howcontagiousisthebritishvariantofsars-cov-2
Week	Cases	sequences	seqProp	B117	BProp
49	12755	1970	15.4	7	0.36
50	21805	2621	12.0	11	0.42
51	24428	3488	14.3	29	0.83
52	16930	3142	18.6	62	1.97
53	14535	3421	23.5	76	2.22
1	11289	3746	33.2	148	3.95
2	6988	3595	51.4	267	7.43
3	5315	3318	62.4	432	13.02
4	3611	2380	65.9	475	19.96

